Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,sentiment
"RT @mawakresna: Layanan Lapor Mas Wapres itu cuma gimmick, karena sebenarnya udah ada Ombudsman yang fungsinya kurang lebih sama. 

Laporan…",@prasetiowardoyo,2024-11-14 03:08:00,in,,0,299,,M. Prasetio Wardoyo,"Belajar dari manapun, dari siapapun, sampai kapanpun
Sursum moveor!",30043,893,398,2,False,,,10
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@OmTivi,2024-11-14 03:07:57,in,,0,305,,comifuro19 ab-29 | kakanda sayang bakpa(om),"he/him | 30 | orv, slow damage, priest | draws little, curses a lot, spams rts, and is very passionate about books (also earth sciences) | iwai stan | 🔞",89867,332,385,13,False,,,0
"RT @mawakresna: Layanan Lapor Mas Wapres itu cuma gimmick, karena sebenarnya udah ada Ombudsman yang fungsinya kurang lebih sama. 

Laporan…",@ArdiPramudito,2024-11-14 03:07:47,in,,0,299,,Ardi P.,"Part-time storyteller, full-time wanderer.",4666,237,198,0,False,,,10
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@belsbibib,2024-11-14 03:07:45,in,,0,250,,laa 🏃🏻‍♀️,this too shall pass away,26439,159,143,1,False,,,-7.69231
RT @1TBHUdBdfmUuQDj: Pagii rabu sarapan lapor mas wapres vip c ready siang https://t.co/cL8v66Cy1k https://t.co/LlQaENkW8F,@PpKk669840,2024-11-14 03:07:39,in,,0,64,,Pp Kk,,1,16,1,0,False,,,18.1818
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@Rawing1274,2024-11-14 03:07:35,in,,0,2058,,Hyung Nim,Sepi,15391,697,626,0,False,,,13.3333
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@Cl_aire_P,2024-11-14 03:07:34,in,,0,305,,Claire 🍉❤️🖤🤍💚,"A she/her ♀. I enjoy stories, arts, and games. From the river to the sea 🍉",260981,750,824,18,False,,,0
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@hdlsoo_,2024-11-14 03:07:28,in,,0,2058,,aul 🐮,"12🐧 11🐻 93🦊 | Semoga owner akun ini segera menjadi sapi hiphop, tdk menjadi sapi bengong terus.
Makasih dah bantu doa🙂🙏",56993,428,376,0,False,,,13.3333
"RT @PngAdilnR4kyt: KANAL LAPOR MAS WAPRES ADALAH AKAL-AKALAN SI FUFUFAFA AGAR PENGEN NONGOL TERUS DI MEDIA, BIAR KELIHATAN EKSIS....

KOCAK…",@rinaldi_niki,2024-11-14 03:07:22,in,,0,324,,Rinaldi Kaharudin,ray,24122,2502,1412,0,False,,,0
"RT @abu_waras: Lambe Waras: Layanan ""Lapor Mas Wapres""  Kebijakan Layanan Yang Bisa Dijalankan Di Level Kelurahan. https://t.co/kq4VWA69Zd",@Ecl4te,2024-11-14 03:07:11,in,,0,661,,Gaharu 2,"#HutanSumberKehidupan 
#LestarikanHutanKita 
#SaveTropicalForestIndonesia",3738,2328,2729,0,False,,,16.6667
"RT @Cendana_20: BUMERANG
LAPOR MAS WAPRES
KEJAHATAN BPK JOKOWI SELAMA 10 TH
#LaporkanJokowiKeMasWapres 
#LaporkanJokowiKeMasWapres 
BAHWA J…",@KrisnaGuritno,2024-11-14 03:06:44,in,,0,233,,Krisna Guritno,sepertiga malam terakhir,20200,971,75,0,False,,,0
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@JokoSan134,2024-11-14 03:06:38,in,,0,250,,Joko Santoso,,45839,191,166,0,False,,,-7.69231
"[ LAPOR MAS WAPRES ]
Layanan ""Lapor Mas Wapres"" resmi diluncurkan 11 November 2024 kemarin. Layanan ini dapat diakses oleh masyarakat secara langsung dengan datang ke Istana Wakil Presiden dibuka pada Senin hingga Jumat, pukul 08.00 s.d. 14.00 WIB https://t.co/UGAfzoFaf2",@elisafmradio,2024-11-14 03:06:37,in,,0,0,,Elisa FM Salatiga,Radio Elisa 103.9 FM The Victorious Station,342,12,590,5,False,,,10.5263
"@_BangFu Apakah nanti ""Lapor Mas Wapres"" lebih lucu dari ""Lapok Pak""?",@dimskp,2024-11-14 03:06:36,in,,0,0,@_BangFu,HEY DIMS!,"-Hidup ini memang tidak adil, jadi siapkan dirimu- (Patrick Star)",6903,259,76,1,False,,,16.6667
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@Arthuria_ST347,2024-11-14 03:06:35,in,,0,305,,Arthur Stefanus,"Atasan Presiden Republik Indonesia.
Sejarawan Independen.
Butuh Ingfo Magang Jurnalis.",1532,162,50,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@serisong,2024-11-14 03:06:34,in,,0,305,,tinker 송 30,"summer blue sky with yellow pep
🍀💎🍋🎤🏠 
kdrama enthu #DAY6 #SEVENTEEN #eaJ #IU #BOYNEXTDOOR
I STAND WITH 🇵🇸",19538,700,374,2,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@kekcrumbs,2024-11-14 03:06:33,in,,0,305,,🍪,Trust in God's timing • Full of happiness 💫,34584,1144,920,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@Warticfox,2024-11-14 03:06:29,in,,0,305,,artic fox 🦊🍉,,15036,2135,717,0,False,,,0
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@Ragadi15,2024-11-14 03:06:28,in,,0,250,,Ragadi,"ini akun Politik, tujuan politik hanya 1 yaitu mencapai Tujuannya ! 
Homo Homini Lupus-Si Vis Pacem Para Bellum-PRIMUS INTERPARES  !",9560,340,133,0,False,,,-7.69231
"RT @TangkasTaruna: Sejauh ini, ini yg paling jauh statmen dedi mulyadi nyinyir @golkar_id

Viral Tom lembong dedi mulyadi Lapor Mas Wapres…",@Julius_And,2024-11-14 03:06:16,in,,0,2,,Julius Andre,"I'm free to decide, no smoke, justice freedom, Oil, I just want to be useful for many people",173,592,305,0,False,,,7.14286
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@Boeluxs1,2024-11-14 03:06:10,in,,0,3280,,Ardha,,76213,5863,428,3,False,,,7.14286
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@KanjengRomoBram,2024-11-14 03:06:09,in,,0,250,,RomoBram,Penikmat ingpo hotnews,46312,75,175,0,False,,,-7.69231
"@Penyair_Berdiri Media Asing Soroti `Lapor Mas Wapres`: Dianggap Aneh-Kurang Dipercaya 

Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan “Lapor Mas Wapres"" yang dianggap kontroversi.
https://t.co/X9Vwptie0L",@lawjusticeco,2024-11-14 03:06:05,in,,0,0,@Penyair_Berdiri,Law-Justice.co | News & Investigation,Portal Berita dan Investigasi,83016,259,7517,12,False,,,-7.69231
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@taviariss,2024-11-14 03:05:45,in,,0,305,,aro ❄,"talk about k-idols and dramas, sometimes talk about books too - a wallflower - a homebody",38947,360,213,2,False,,,0
"@pakmul63 @msaid_didu Media Asing Soroti `Lapor Mas Wapres`: Dianggap Aneh-Kurang Dipercaya 

Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan “Lapor Mas Wapres"" yang dianggap kontroversi.
https://t.co/X9Vwptie0L",@lawjusticeco,2024-11-14 03:05:43,in,,0,0,@pakmul63,Law-Justice.co | News & Investigation,Portal Berita dan Investigasi,83016,259,7517,12,False,,,-7.40741
"RT @PngAdilnR4kyt: KANAL LAPOR MAS WAPRES ADALAH AKAL-AKALAN SI FUFUFAFA AGAR PENGEN NONGOL TERUS DI MEDIA, BIAR KELIHATAN EKSIS....

KOCAK…",@Sunarti25231614,2024-11-14 03:05:32,in,,0,324,,Sunarti,,173371,1165,1516,0,False,,,0
"@5lamate @bukupembaharu @Abe_Mukti Media Asing Soroti `Lapor Mas Wapres`: Dianggap Aneh-Kurang Dipercaya 

Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan “Lapor Mas Wapres"" yang dianggap kontroversi.
https://t.co/X9Vwptie0L",@lawjusticeco,2024-11-14 03:05:11,in,,0,0,@5lamate,Law-Justice.co | News & Investigation,Portal Berita dan Investigasi,83016,259,7517,12,False,,,-7.14286
"@CNNIndonesia Gasssss dalam dalam. Jangan kasih kendorrr

Bongkar sindikat club malamnya. Cek narkoba,judol.
Bekingan? Hajar jg kalo perlu. Lapor mas wapres
😁",@Ronaldxcviii,2024-11-14 03:05:11,in,,0,0,@CNNIndonesia,RonZ,,13186,60,57,0,False,,,11.1111
