Content,Author,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Tweets Count,Author Following Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,sentiment
"LAPOR MAS WAPRES! Tetap aman dan nyaman berkendara menggunakan #sepedalistrik dari #Uwinfly seri T60, pembelian untuk area #Surabaya dan sekitarnya bisa langsung ke https://t.co/bm01au1xsk. Harganya cuma 4jt'an rupiah, buruan langsung merapat! #KeselamatanPrioritasUtama https://t.co/z5qvgZpali",@stphenkt,2024-11-14 03:19:22,in,,0,0,,Stephen,"Digital Marketer at https://t.co/u7hiyQoDMe
Journalist at https://t.co/daLH4p9v1Q",55,0,0,0,False,,,15
"RT @mawakresna: Layanan Lapor Mas Wapres itu cuma gimmick, karena sebenarnya udah ada Ombudsman yang fungsinya kurang lebih sama. 

Laporan…",@Mr98Hehehehe,2024-11-14 03:19:16,in,,0,299,,hehehehe,,81797,4164,477,0,False,,,10
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@bakulswikee,2024-11-14 03:19:07,in,,0,3280,,suketi,,86642,715,702,0,False,,,7.14286
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@KE_Yoga,2024-11-14 03:19:04,in,,0,3280,,Yoga,Thank you for being kind.,12198,305,281,0,False,,,7.14286
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@rudestrong,2024-11-14 03:19:04,in,,0,305,,rudestrong,,61413,103,152,0,False,,,0
"RT @TangkasTaruna: Sejauh ini, ini yg paling jauh statmen dedi mulyadi nyinyir @golkar_id

Viral Tom lembong dedi mulyadi Lapor Mas Wapres…",@AwalReto,2024-11-14 03:19:01,in,,0,2,,Awal R,semua bisa senang,422,36,3,0,False,,,7.14286
RT @BelengBeleng687: @Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_rad…,@JokoSan134,2024-11-14 03:18:35,in,,0,10,,Joko Santoso,,45839,191,166,0,False,,,0
"RT @Penyair_Berdiri: Netijen +62 Ga Ada Obat
KAGET BANGET 🤣🤣🤣

Lapor Mas Wapres ! https://t.co/CDt82SpG3o",@sandy_rizaldi,2024-11-14 03:18:32,in,,0,418,,sandyrizaldi,#GGMU L Y O N O,4380,42,29,0,False,,,22.2222
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@sandicalla,2024-11-14 03:18:30,in,,0,305,,calla,INFP • ♐ • 27 •,37899,1100,1372,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@nombuycart,2024-11-14 03:18:27,in,,0,305,,nom | mention after dm 💌,🛒sbt for #KUNGYAZ / #SUNSUN |🔸https://t.co/AtaBZKXdzw 🔸,18065,408,335,1,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@sapphirehuang,2024-11-14 03:18:25,in,,0,3280,,Sapphire,"Profile pict ku tidak akan kuganti sampai Renjun Joshua foto bareng lagi ||
Tambah tua malah tambah fandomnya",26579,429,111,0,False,,,7.14286
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@shiniestmuscat,2024-11-14 03:18:13,in,,0,305,,Cei.,,22717,89,24,0,False,,,0
"RT @FayaAtika: Wkwkwk.... Kaum low quality emang mudah di bodohi... 

Percayalah.. Lapor Mas Wapres cuma konten biar dibilang brilian oleh…",@demplo13,2024-11-14 03:17:53,in,,0,2058,,Demplo13,,1072,202,130,0,False,,,13.3333
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@fr8les,2024-11-14 03:17:36,in,,0,3280,,jara,Fan Account — ID || mostly 엔.븐티즈 || 𝙁𝙚𝙚𝙡 𝙛𝙧𝙚𝙚 𝙩𝙤 𝙪𝙣𝙛𝙤𝙡𝙡𝙤𝙬,77237,300,75,0,False,,,7.14286
"RT @msaid_didu: PROGRAM  LAPOR MAS WAPRES LANGKAH MUNDUR 36 TAHUN.

1) *Langkah Mundur 36 tahun*. Pengaduan masyarakat seperti ini sdh dimu…",@humairaa459,2024-11-14 03:17:28,in,,0,250,,tata katili,,664,101,15,0,False,,,-7.69231
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@tictactwoooo,2024-11-14 03:17:22,in,,0,305,,Nin 🌸,,12843,105,115,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@spelledbarou,2024-11-14 03:17:15,in,,0,305,,revina,"“𝐼 𝑙𝑖𝑘𝑒 𝑓𝑙𝑜𝑤𝑒𝑟𝑠, 𝑠𝑢𝑛𝑟𝑖𝑠𝑒𝑠, 𝑡ℎ𝑒 𝑜𝑐𝑒𝑎𝑛, 𝑎𝑛𝑑 𝑦𝑜𝑢”  𔘓⭒۟☆₊˚⊹",5905,1253,1654,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@calicoxkitten,2024-11-14 03:17:09,in,,0,305,,🔍⍤⃝🐱 tica.,making everything works within the limits. 아포방포. 💜,123782,112,58,1,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@anelpeu,2024-11-14 03:17:03,in,,0,305,,プヤ☀️,Satoru’s,6507,297,285,0,False,,,0
"RT @msaid_didu: Sengketa pisang.
Ada yg mau lapor ke layanan Lapor Mas Wapres https://t.co/vKJCx50sDR",@SenoNunky,2024-11-14 03:17:03,in,,0,62,,Nunky Seno,,12121,116,53,0,False,,,12.5
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@nana_bluenana,2024-11-14 03:16:40,in,,0,305,,NANANA,".              ／＞　 フ
               | 　_　_| 
          ／` ミ__^ノ 
        /　 ヽ　　 ﾉ            ╱|、
       /　　 |　|　|         (˚ˎ 。7  
／￣|　　 |　|　|         /       \",36650,1532,202,0,False,,,0
"RT @mawakresna: Layanan Lapor Mas Wapres itu cuma gimmick, karena sebenarnya udah ada Ombudsman yang fungsinya kurang lebih sama. 

Laporan…",@Arifineyusuf,2024-11-14 03:16:40,in,,0,299,,Suf ,"Akun tempat sambat dan protes kebijakan pemerintah.
One Piece salah satu sumber semangat.
Man United salah satu sumber kekecewaan tiap pekan.",45828,644,204,0,False,,,10
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@M1ntAngsteuBoi,2024-11-14 03:16:40,in,,0,305,,Syifa 🐹,23+ • she/her • 🇲🇨  • GI • IND/ENG • AR60 WL 9 • is actually crazy • questioning myself?,86124,1048,222,0,False,,,0
"RT @ZAEffendy: Gelar Doktor-nya ditangguhkan UI.
AD/ART Parpol-nya dibatalkan PTUN.

Sudah “Lapor Mas Wapres”❓#Nalar https://t.co/ClHHDPWNjg",@pisauKeadilan,2024-11-14 03:16:38,in,,0,18,,@pisauKeadilan,"Pancasila adlh sebuah kesepakatan final. Boleh bertolerasi tapi tidak menggadaikan aqidah, merawat kebhinekaan harus dalam bingkai Kebenaran & Keadilan.",4742,195,102,0,False,,,0
RT @BelengBeleng687: @Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_rad…,@AmirJohan744577,2024-11-14 03:15:47,in,,0,10,,Amir Johan,Umat Rosul,46680,216,276,0,False,,,0
RT @PartaiSocmed: Jujur2an aja yuk! Sebenarnya resistensi terhadap program Lapor Mas Wapres ini bukan seperti macam2 alasan yg mereka tuduh…,@icenk86,2024-11-14 03:15:07,in,,0,194,,icenk,santuy..,1437,511,219,0,False,,,-8.33333
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@onepunchmas,2024-11-14 03:14:58,in,,0,3280,,Vitro,Lah opo o cuk,22078,538,532,1,False,,,7.14286
RT @BelengBeleng687: @Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_rad…,@Jangkrikgengg15,2024-11-14 03:14:38,in,,0,10,,PetrukTinggalGlanggang,حَسْبُنَا اللهُ وَنِعْمَ الْوَكِيْلُ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيْرُ,58870,3896,3377,0,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@hyebin12_,2024-11-14 03:14:23,in,,0,305,,Hyebin,"Hanya untuk hiburan, informasi, dan berkeluh kesah~
Sedang masa transisi dari budak cokip ke budak cogep 😌",150297,825,141,1,False,,,0
"RT @ekstapol: https://t.co/0LuaPEI5Ga

Ini gaiss, semoga kalian langganan Tempo yaa❤️😊 https://t.co/epkK2qNWMi",@conconlatte,2024-11-14 03:14:19,in,,0,305,,conay 🐣🐥🍉,personal account but randomly yapping. mostly about kpop.,46740,505,532,1,False,,,0
"RT @ILCTalkshow: Karni: “Jadi klo ini diambil alih oleh Wakil Presiden, menurut mereka ketinggian &amp; nanti bs overlapse dgn instansi yg di b…",@SieTrihartono,2024-11-14 03:14:00,in,,0,9,,Sie Trihartono,,44208,200,116,0,False,,,0
"RT @NenkMonica: Nah loh....
Salah satu media terkemuka di Asia yang berbasis di Singapura, Channel News Asia, menyoroti layanan ""Lapor Mas…",@Ahmed86R,2024-11-14 03:13:59,in,,0,3280,,Elbantani,"young, smart and simple.",10735,1053,193,2,False,,,7.14286
