"Kabupaten","Intercept","RataLamaSekolah","PresentasePenduduk","PresentaseAksesGadget","PendudukMiskin","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","RataLamaSekolah_SE","PresentasePenduduk_SE","PresentaseAksesGadget_SE","PendudukMiskin_SE","Intercept_TV","RataLamaSekolah_TV","PresentasePenduduk_TV","PresentaseAksesGadget_TV","PendudukMiskin_TV","Local_R2","coords.x1","coords.x2","optional","Intercept_p_p","RataLamaSekolah_p_p","PresentasePenduduk_p_p","PresentaseAksesGadget_p_p","PendudukMiskin_p_p"
"Maros",-22249.6490181081,1548.74183278146,837.388418022077,203.143151575503,0.227222704874347,8134,9353.17536598615,-1219.17536598615,0,-1.6327397653323,3388.04098917164,861.812034463551,463.879723958723,349.288088334184,0.0353627877707764,-6.56711329326273,1.79707612663531,1.80518435010664,0.581591981977766,6.42547489036264,0.988239296704161,119.724766390874,-5.00068852868167,TRUE,0,0.087,0.086,0.567,0
"Palopo",3364.30538545843,-1744.42900695021,874.110883857057,324.672202387771,0.0920323614388718,2205,2171.92299518898,33.0770048110226,0,0.183128995045347,8969.71772610811,836.444387381374,333.208359474465,507.444855368024,0.0728283453664074,0.375073718949479,-2.08552897630341,2.62331618941284,0.639817704235671,1.26368875986193,0.994451707177509,120.147894322684,-2.98046933681441,TRUE,0.712,0.05,0.016,0.53,0.221
"Pangkep",-21387.9551488691,903.53161309823,1103.46400074609,212.675959852048,0.245208770414354,11418,12548.367139007,-1130.36713900697,0,-1.2633921231973,3484.38579156464,841.165394559704,464.544962868197,346.121800820409,0.0335841414081664,-6.1382282067179,1.07414263466125,2.37536533370865,0.614454100689248,7.30132616565056,0.987234443548892,119.629709113887,-4.79072492739043,TRUE,0,0.296,0.028,0.546,0
"Pare Pare",-460.519289331467,-2524.49452073114,1977.97051786101,31.5500767025842,0.19594827338526,2139,1869.64419670275,269.355803297247,0,0.720508698909106,5931.19608110718,682.245665809014,414.954854350628,382.507659941079,0.0364744844490201,-0.0776435786364193,-3.7002719800903,4.76671256432554,0.0824822088724814,5.37220131676253,0.966775512880345,119.661601801644,-4.02935070181824,TRUE,0.939,0.001,0,0.935,0
"Pinrang",4042.16210023363,-2568.09688739023,1368.53485404887,359.183247627222,0.128036291722898,8841,8823.58744237578,17.4125576242186,0,0.0289727223051752,6698.87897637983,683.247643724455,381.370050776776,435.561470623123,0.0675507145794181,0.603408736668665,-3.75866190096356,3.58846965371672,0.82464421637976,1.89540987863819,0.974492112545742,119.599906632857,-3.62242102152614,TRUE,0.553,0.001,0.002,0.419,0.073
"Kepulauan Selayar",-27884.7209613839,864.884663974604,1685.31343558752,616.948203456312,0.16229735816772,1473,1497.42050764156,-24.4205076415597,0,-0.255271252857582,6238.81205305615,1090.72523038709,594.190874389272,729.599105278308,0.0925039137906571,-4.46955617900434,0.792944583914745,2.83631659156619,0.845598903552623,1.75449179950386,0.995901252017395,120.492959568907,-6.09418460961955,TRUE,0,0.437,0.01,0.408,0.095
"Sidrap",4578.09241957801,-2879.57471950482,1767.27981286634,119.006211673066,0.158585904728997,5804,7086.85732067033,-1282.85732067033,0,-1.44027791443505,5910.99597029274,655.203071387813,394.013586335324,424.772851597617,0.0497389987682455,0.774504405448154,-4.39493470841867,4.48532709063059,0.280164354255388,3.18836141973654,0.960321393279592,119.97147190317,-3.80727777410284,TRUE,0.448,0,0,0.782,0.005
"Sinjai",-21216.1195451481,1460.09855491404,957.302814836671,179.406849992452,0.207809284008386,4631,4766.54190461521,-135.541904615211,0,-0.203230135813619,3529.36133835312,1023.88127517941,533.012732571556,360.007945289804,0.0362970163710216,-6.01131975765565,1.42604283358752,1.79602241435791,0.49834136257196,5.72524424278283,0.983386361415767,120.135871117758,-5.20974561013907,TRUE,0,0.169,0.088,0.624,0
"Soppeng",-4268.80855496632,-2323.41016627641,2246.77874747201,-73.4762917370899,0.224376141127347,3331,2005.70232787572,1325.29767212428,0,1.54018272185178,4781.73596523483,674.78762590513,489.945974100371,352.026155306559,0.0298710519703958,-0.892731967219082,-3.44317245468141,4.58576836272102,-0.208723955960328,7.51149110348436,0.971944839664128,119.892102919849,-4.33903463407943,TRUE,0.383,0.003,0,0.837,0
"Takalar",-21251.5459797868,2696.17027519402,346.146394971231,-38.7350090115142,0.21130043735517,6205,6041.85841687323,163.141583126774,0,0.163335089481383,3765.98133843929,1219.26511080643,628.655326397637,415.617296830136,0.0532709963040631,-5.64303008166098,2.2113076567989,0.550613954000425,-0.0931987415031605,3.96651934476874,0.991627345892248,119.476480927249,-5.41818512784559,TRUE,0,0.039,0.588,0.927,0.001
"Toraja Utara",2177.23439347761,-1641.96356781147,866.844895804362,335.650885508072,0.0981911984423744,3295,3028.64598618784,266.35401381216,0,0.41553537802875,9957.63536716138,977.777901707826,346.448629876383,599.514990540885,0.0776388062174511,0.218649740947311,-1.67928070878218,2.50208781634859,0.559870713500002,1.26471803504243,0.995705668713228,119.868921534767,-2.88817151679415,TRUE,0.829,0.109,0.021,0.582,0.221
"Tanah Toraja",3716.25270264482,-2279.68302096591,1154.97146179744,428.366390007642,0.0982572944014879,2421,2650.52046092929,-229.520460929291,0,-0.492159530993789,8777.47466451262,791.96508867585,359.228164929778,525.645059184963,0.0674111175056182,0.423385181351722,-2.87851453752526,3.2151472923155,0.814934683628233,1.45758293345751,0.992811491277182,119.712368704871,-3.1085025204484,TRUE,0.677,0.009,0.004,0.425,0.161
"Wajo",2279.54730093779,-2974.24067975694,2302.47427534516,-200.529834683442,0.207117043042072,12331,11566.4441609657,764.555839034279,0,1.28875733669906,6467.44388827082,678.733724626756,666.005728195104,515.046749122003,0.0489764703021953,0.352464952200345,-4.38204346099424,3.45713884711613,-0.389342977167188,4.22890914278052,0.96024745036825,120.171020905148,-4.00651989710151,TRUE,0.728,0,0.003,0.701,0
"Bantaeng",-22069.3690541371,1620.29246499672,944.749339224896,196.661199043145,0.200628956777795,4941,4127.34832291658,813.651677083424,0,1.12322567070932,3728.46397517401,978.468345945312,504.630430666892,373.043427819646,0.0445068684733508,-5.91915845267275,1.65594775928222,1.87216085636446,0.527180441678291,4.50782011090995,0.983122632304206,119.98690972845,-5.48818765081271,TRUE,0,0.113,0.076,0.604,0
