Kecamatan,Tahun,Long,Lat,Intercept,X1_fe,X2_fe,X3_fe,X5_fe,y,yhat,residual,CV_Score,Stud_residual,Intercept_SE,X1_fe_SE,X2_fe_SE,X3_fe_SE,X5_fe_SE,Intercept_TV,X1_fe_TV,X2_fe_TV,X3_fe_TV,X5_fe_TV,Local_R2,coords.x1,coords.x2,optional,Intercept_p_p,X1_fe_p_p,X2_fe_p_p,X3_fe_p_p,X5_fe_p_p,ket.Kepadatan,ket.SIM_C,ket.SIM_A,ket.Macet
Kebon Jeruk,2022,106.769,-6.19,2.12E-16,9.633670949,-0.20824752,-0.740642999,6.368101517,0.736407903,0.651663478,0.084744425,0,0.043957539,0.590111755,7.425737832,0.8533482,1.446457648,2.598832396,3.60E-16,1.297335183,-0.24403581,-0.512039187,2.450370223,0.88919685,106.769,-6.19,TRUE,1,0.198,0.808,0.61,0.016,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Kebon Jeruk,2020,106.769,-6.19,2.12E-16,9.633670949,-0.20824752,-0.740642999,6.368101517,-1.982636663,-1.219825937,-0.762810726,0,-0.473943587,0.590111755,7.425737832,0.8533482,1.446457648,2.598832396,3.60E-16,1.297335183,-0.24403581,-0.512039187,2.450370223,0.88919685,106.769,-6.19,TRUE,1,0.198,0.808,0.61,0.016,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Kalideres,2024,106.704,-6.135,-8.97E-17,-1.63094045,-0.052280733,0.34962435,1.252118592,0.289899774,0.291715298,-0.001815524,0,-0.003221368,0.989644204,94.13595022,1.243044153,3.822783023,13.31275774,-9.06E-17,-0.017325373,-0.042058629,0.091458068,0.094054036,0.70679703,106.704,-6.135,TRUE,1,0.986,0.967,0.927,0.925,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kalideres,2022,106.704,-6.135,-8.97E-17,-1.63094045,-0.052280733,0.34962435,1.252118592,-0.331314027,-0.239150308,-0.09216372,0,-0.060712833,0.989644204,94.13595022,1.243044153,3.822783023,13.31275774,-9.06E-17,-0.017325373,-0.042058629,0.091458068,0.094054036,0.70679703,106.704,-6.135,TRUE,1,0.986,0.967,0.927,0.925,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kalideres,2023,106.704,-6.135,-8.97E-17,-1.63094045,-0.052280733,0.34962435,1.252118592,-0.296802149,-0.063646382,-0.233155768,0,-0.283835214,0.989644204,94.13595022,1.243044153,3.822783023,13.31275774,-9.06E-17,-0.017325373,-0.042058629,0.091458068,0.094054036,0.70679703,106.704,-6.135,TRUE,1,0.986,0.967,0.927,0.925,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kalideres,2021,106.704,-6.135,-8.97E-17,-1.63094045,-0.052280733,0.34962435,1.252118592,-0.020707127,-0.276989707,0.256282581,0,0.225611359,0.989644204,94.13595022,1.243044153,3.822783023,13.31275774,-9.06E-17,-0.017325373,-0.042058629,0.091458068,0.094054036,0.70679703,106.704,-6.135,TRUE,1,0.986,0.967,0.927,0.925,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Kalideres,2020,106.704,-6.135,-8.97E-17,-1.63094045,-0.052280733,0.34962435,1.252118592,0.35892353,0.288071099,0.07085243,0,0.088541303,0.989644204,94.13595022,1.243044153,3.822783023,13.31275774,-9.06E-17,-0.017325373,-0.042058629,0.091458068,0.094054036,0.70679703,106.704,-6.135,TRUE,1,0.986,0.967,0.927,0.925,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh
Taman Sari,2024,106.818,-6.148,2.49E-16,7.337149106,0.047565182,-1.629645417,4.984838274,-0.355862358,-0.549597221,0.193734864,0,0.083440998,0.466395852,5.169669283,0.762233804,0.914060273,2.096970706,5.33E-16,1.419268565,0.062402352,-1.782864286,2.377161617,0.633262727,106.818,-6.148,TRUE,1,0.159,0.95,0.078,0.02,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Taman Sari,2023,106.818,-6.148,2.49E-16,7.337149106,0.047565182,-1.629645417,4.984838274,0.533793536,0.049965381,0.483828155,0,0.197794806,0.466395852,5.169669283,0.762233804,0.914060273,2.096970706,5.33E-16,1.419268565,0.062402352,-1.782864286,2.377161617,0.633262727,106.818,-6.148,TRUE,1,0.159,0.95,0.078,0.02,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Taman Sari,2021,106.818,-6.148,2.49E-16,7.337149106,0.047565182,-1.629645417,4.984838274,-0.578276331,-0.330694647,-0.247581684,0,-0.099306821,0.466395852,5.169669283,0.762233804,0.914060273,2.096970706,5.33E-16,1.419268565,0.062402352,-1.782864286,2.377161617,0.633262727,106.818,-6.148,TRUE,1,0.159,0.95,0.078,0.02,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Taman Sari,2022,106.818,-6.148,2.49E-16,7.337149106,0.047565182,-1.629645417,4.984838274,0.088965589,0.982759328,-0.893793739,0,-0.374386627,0.466395852,5.169669283,0.762233804,0.914060273,2.096970706,5.33E-16,1.419268565,0.062402352,-1.782864286,2.377161617,0.633262727,106.818,-6.148,TRUE,1,0.159,0.95,0.078,0.02,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
Taman Sari,2020,106.818,-6.148,2.49E-16,7.337149106,0.047565182,-1.629645417,4.984838274,0.311379563,-0.152432841,0.463812404,0,0.217770134,0.466395852,5.169669283,0.762233804,0.914060273,2.096970706,5.33E-16,1.419268565,0.062402352,-1.782864286,2.377161617,0.633262727,106.818,-6.148,TRUE,1,0.159,0.95,0.078,0.02,Tidak Berpengaruh,Tidak Berpengaruh,Tidak Berpengaruh,Berpengaruh
