"Kecamatan","Tahun","Long","Lat","Intercept","X1_fe","X2_fe","X3_fe","X5_fe","y","yhat","residual","CV_Score","Stud_residual","Intercept_SE","X1_fe_SE","X2_fe_SE","X3_fe_SE","X5_fe_SE","Intercept_TV","X1_fe_TV","X2_fe_TV","X3_fe_TV","X5_fe_TV","Local_R2","coords.x1","coords.x2","optional","Intercept_p_p","X1_fe_p_p","X2_fe_p_p","X3_fe_p_p","X5_fe_p_p","ket.Kepadatan","ket.SIM_C","ket.SIM_A","ket.Macet"
"Cakung",2024,106.941,-6.188,-2.74637051234004e-16,8.76627376733824,-1.76038653997301,-2.13871687875339,15.1896298819934,5.43819303228734,5.68917079174852,-0.250977759461183,0,-0.146855473498993,0.99421590900112,8.55411512850534,0.814832876050421,1.06719609821149,6.36775056804173,-2.76234818561624e-16,1.02480193867463,-2.16042650181935,-2.00405237831889,2.38539963519091,0.959668163705698,106.941,-6.188,TRUE,1,0.308,0.033,0.048,0.019,"Tidak Berpengaruh","Berpengaruh","Berpengaruh","Berpengaruh"
"Cakung",2023,106.941,-6.188,-2.74637051234004e-16,8.76627376733824,-1.76038653997301,-2.13871687875339,15.1896298819934,4.17800569860221,3.39262423222202,0.785381466380196,0,0.367786391182339,0.99421590900112,8.55411512850534,0.814832876050421,1.06719609821149,6.36775056804173,-2.76234818561624e-16,1.02480193867463,-2.16042650181935,-2.00405237831889,2.38539963519091,0.959668163705698,106.941,-6.188,TRUE,1,0.308,0.033,0.048,0.019,"Tidak Berpengaruh","Berpengaruh","Berpengaruh","Berpengaruh"
"Cakung",2022,106.941,-6.188,-2.74637051234004e-16,8.76627376733824,-1.76038653997301,-2.13871687875339,15.1896298819934,-4.11014945755763,-4.26555109492459,0.155401637366956,0,0.178157471866329,0.99421590900112,8.55411512850534,0.814832876050421,1.06719609821149,6.36775056804173,-2.76234818561624e-16,1.02480193867463,-2.16042650181935,-2.00405237831889,2.38539963519091,0.959668163705698,106.941,-6.188,TRUE,1,0.308,0.033,0.048,0.019,"Tidak Berpengaruh","Berpengaruh","Berpengaruh","Berpengaruh"
"Cakung",2020,106.941,-6.188,-2.74637051234004e-16,8.76627376733824,-1.76038653997301,-2.13871687875339,15.1896298819934,-2.94689961107906,-3.4732828738398,0.526383262760743,0,1.63153005692566,0.99421590900112,8.55411512850534,0.814832876050421,1.06719609821149,6.36775056804173,-2.76234818561624e-16,1.02480193867463,-2.16042650181935,-2.00405237831889,2.38539963519091,0.959668163705698,106.941,-6.188,TRUE,1,0.308,0.033,0.048,0.019,"Tidak Berpengaruh","Berpengaruh","Berpengaruh","Berpengaruh"
"Cakung",2021,106.941,-6.188,-2.74637051234004e-16,8.76627376733824,-1.76038653997301,-2.13871687875339,15.1896298819934,-2.55914966225286,-1.34296105520615,-1.21618860704671,0,-0.60958695850912,0.99421590900112,8.55411512850534,0.814832876050421,1.06719609821149,6.36775056804173,-2.76234818561624e-16,1.02480193867463,-2.16042650181935,-2.00405237831889,2.38539963519091,0.959668163705698,106.941,-6.188,TRUE,1,0.308,0.033,0.048,0.019,"Tidak Berpengaruh","Berpengaruh","Berpengaruh","Berpengaruh"
"Cempaka Putih",2023,106.868,-6.181,1.22364575869113e-16,5.51408179824784,-0.322269234579806,-2.68435290057731,14.1053707152089,3.17243361924657,0.319057621173381,2.85337599807319,0,1.15033087097714,0.426630258815077,3.66835674414333,0.779748708657948,0.658161821686586,2.80979806688034,2.86816448999582e-16,1.50314764425551,-0.413298837178551,-4.07856063984153,5.02006563442113,0.535959054576521,106.868,-6.181,TRUE,1,0.136,0.68,0,0,"Tidak Berpengaruh","Tidak Berpengaruh","Berpengaruh","Berpengaruh"
"Cempaka Putih",2020,106.868,-6.181,1.22364575869113e-16,5.51408179824784,-0.322269234579806,-2.68435290057731,14.1053707152089,-5.61606492055812,-1.27030518156076,-4.34575973899736,0,-2.18837474717064,0.426630258815077,3.66835674414333,0.779748708657948,0.658161821686586,2.80979806688034,2.86816448999582e-16,1.50314764425551,-0.413298837178551,-4.07856063984153,5.02006563442113,0.535959054576521,106.868,-6.181,TRUE,1,0.136,0.68,0,0,"Tidak Berpengaruh","Tidak Berpengaruh","Berpengaruh","Berpengaruh"
"Cempaka Putih",2022,106.868,-6.181,1.22364575869113e-16,5.51408179824784,-0.322269234579806,-2.68435290057731,14.1053707152089,0.814543767103849,0.0734269229835589,0.74111684412029,0,0.301400033412806,0.426630258815077,3.66835674414333,0.779748708657948,0.658161821686586,2.80979806688034,2.86816448999582e-16,1.50314764425551,-0.413298837178551,-4.07856063984153,5.02006563442113,0.535959054576521,106.868,-6.181,TRUE,1,0.136,0.68,0,0,"Tidak Berpengaruh","Tidak Berpengaruh","Berpengaruh","Berpengaruh"
"Cempaka Putih",2024,106.868,-6.181,1.22364575869113e-16,5.51408179824784,-0.322269234579806,-2.68435290057731,14.1053707152089,6.17338434015549,1.32602767239561,4.84735666775988,0,1.92998845173512,0.426630258815077,3.66835674414333,0.779748708657948,0.658161821686586,2.80979806688034,2.86816448999582e-16,1.50314764425551,-0.413298837178551,-4.07856063984153,5.02006563442113,0.535959054576521,106.868,-6.181,TRUE,1,0.136,0.68,0,0,"Tidak Berpengaruh","Tidak Berpengaruh","Berpengaruh","Berpengaruh"
"Cempaka Putih",2021,106.868,-6.181,1.22364575869113e-16,5.51408179824784,-0.322269234579806,-2.68435290057731,14.1053707152089,-4.54429680594779,-0.448207034991795,-4.09608977095599,0,-1.64857871949554,0.426630258815077,3.66835674414333,0.779748708657948,0.658161821686586,2.80979806688034,2.86816448999582e-16,1.50314764425551,-0.413298837178551,-4.07856063984153,5.02006563442113,0.535959054576521,106.868,-6.181,TRUE,1,0.136,0.68,0,0,"Tidak Berpengaruh","Tidak Berpengaruh","Berpengaruh","Berpengaruh"
